"Year","CITATION","SAMPLE NAME","UNIQUE_ID","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","NIO(WT%)","ZNO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","FE(WT%)","MG(WT%)","K(WT%)","NA(WT%)","LI(PPM)","F(PPM)","S(PPM)","CL(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM): altern. values or methods","","","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","PD(PPB)","AG(PPM)","CD(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PT(PPB)","AU(PPM)","AU(PPB)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1983"," [2763] WALKER D. A. (1983)","samp. PUB","","41.49","","","","","","","5.99","","","52.31","0.08","","0.394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1983"," [4050] ARCULUS R. J. (1983)","samp. T17","","47.48","2.44","10.42","","","","3.52","","4.97","10.86","13.71","0.18","","","","1.3","1.97","0.6","","0","0.03","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 458","","","","","","","","","18.9","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 530","","","","2","0.2","","","","11.8","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 1425","","","","1.7","0.5","","","","13.1","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 458","","","","1.8","0.3","","","","9.7","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 530","","","","1.8","0.4","","","","5.1","","21.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 458","","","","1.9","0.2","","","","3.4","","21.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1973"," [4093] ENGLAND R. N. (1973)","samp. 1425","","","","1.9","0.7","","","","5.7","","21.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1993"," [4764] RYTUBA J. J. (1993)","samp. L63-568.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","","","2.8","","","","","12","","147","73","","15","","","","","","","88","","","20","","54","","","","","6","","0.2","","","1.8","1","340","13","32","","","4.9","","","","","","","","","","","","2","","","120","","5","","0.9","0.8",
