"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM / CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","RIM / CORE (INCLUSION)","HOSTMINERAL (INCLUSION)","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","V2O3(WT%)","V2O5(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","SI(WT%)","AL(WT%)","TI(WT%)","FE(WT%)","MG(WT%)","MN(WT%)","K(WT%)","CR(WT%)","LI(PPM)","BE(PPM)","P(PPM)","S(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM): altern. values or methods","","","","CR(PPM): altern. values or methods","","","","CO(PPM): altern. values or methods","","","","NI(PPM): altern. values or methods","","","","CU(PPM)","ZN(PPM)","GA(PPM)","AS(PPM)","SE(PPM)","RB(PPM): altern. values or methods","","","","SR(PPM): altern. values or methods","","","","Y(PPM): altern. values or methods","","","","ZR(PPM): altern. values or methods","","","","NB(PPM): altern. values or methods","","","","MO(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","CS(PPM)","BA(PPM): altern. values or methods","","","","LA(PPM): altern. values or methods","","","","CE(PPM): altern. values or methods","","","","PR(PPM)","ND(PPM): altern. values or methods","","","","SM(PPM): altern. values or methods","","","","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","TL(PPM)","PB(PPM)","PB206(PPM)","BI(PPM)","TH(PPM)","U(PPM)",
"1965"," [4202] GUNN B. M. (1965)","samp. 4053","83075","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GRANITE","","DOLERITIC","","","","","","","","","","WHOLE ROCK","","","","","","","","","","-72.43","170.2","-72.43","170.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118","XRF","","","","","","","","","","","","","","","","","","","","","","","","","870","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1965"," [4202] GUNN B. M. (1965)","samp. GV","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GRANITE","","","","","","","","","","","","WHOLE ROCK","","","","","","","","","","-72.43","170.2","-72.43","170.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","381","XRF","","","","","","","","","","","","","","","","","","","","","","","","","415","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"1965"," [4202] GUNN B. M. (1965)","samp. 4160","","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / HALLETT","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","GRANITE","","","","","","","","","","","","WHOLE ROCK","","","","","","","","","","-72.43","170.2","-72.43","170.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266","XRF","","","","","","","","","","","","","","","","","","","","","","","","","636","XRF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. R-11","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.85","67.98","-70.85","67.98","35.86","2.25","8.97","0.04","","","","3.04","","7.94","15.55","15.31","0.18","","","","3.1","1.88","0.77","","","3.21","","","","","4.5","","","","","","","","","","","","","","22.9","","276","ICPMS","","","274","ICPMS","","","","","","","213","ICPMS","","","","","","","","128","ICPMS","","","1109","ICPMS","","","20.9","ICPMS","","","78.8","ICPMS","","","38.5","ICPMS","","","","","","","","","1557","ICPMS","","","67.8","ICPMS","","","120","ICPMS","","","12.8","50.6","ICPMS","","","8.86","ICPMS","","","2.73","7.65","0.94","4.55","0.664","1.76","0.247","1.288","0.198","1.4","4.31","","","8.22","","","14.6","2.12",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. R-101","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.85","67.98","-70.85","67.98","34.98","2.22","9.44","0.05","","","","3.51","","6.52","15.32","15.17","0.18","","","","3.22","1.86","0.87","","","4.2","","","","","6.34","","","","","","","","","","","","","","23","","215","ICPMS","","","299","ICPMS","","","","","","","218","ICPMS","","","","","","","","151","ICPMS","124","SOSMS_ID","1141","ICPMS","1049","SOSMS_ID","28.5","ICPMS","","","261","ICPMS","","","42.2","ICPMS","","","","","","","","","1374","ICPMS","","","96.3","ICPMS","","","161","ICPMS","","","18.6","73","ICPMS","74.27","SOSMS_ID","13.1","ICPMS","12.79","SOSMS_ID","3.78","10.7","1.32","6.34","0.94","2.47","0.368","2.016","0.286","4.75","5.14","","","9.44","","","23.8","2.51",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. R-134","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.85","67.98","-70.85","67.98","35","2.38","9.79","0.08","","","","4.29","","6.26","14.63","14.23","0.22","","","","3.68","2.12","1.11","","","3.26","","","","","5.64","","","","","","","","","","","","","","14.2","","163","ICPMS","","","451","ICPMS","","","","","","","297","ICPMS","","","","","","","","96.8","ICPMS","101","SOSMS_ID","675.3","ICPMS","807","SOSMS_ID","16","ICPMS","","","114","ICPMS","","","43.8","ICPMS","","","","","","","","","827","ICPMS","","","75.8","ICPMS","","","136","ICPMS","","","16.3","64.2","ICPMS","66.12","SOSMS_ID","10.5","ICPMS","11.04","SOSMS_ID","2.91","8.08","0.894","4.09","0.559","1.36","0.167","0.907","0.122","2.42","5.22","","","5.87","","","23.5","1.87",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. SD-3","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.5","68.83","-70.5","68.83","35.85","2.42","7.9","0.08","","","","4.5","","6.39","13.6","16.49","0.18","","","","1.82","2.32","0.9","","","2.9","","","","","7.86","","","","","","","","","","","","","","22.1","","228","ICPMS","","","495","ICPMS","","","","","","","340","ICPMS","","","","","","","","72.9","ICPMS","67.05","SOSMS_ID","1184","ICPMS","1078","SOSMS_ID","24.3","ICPMS","","","52.3","ICPMS","","","24.6","ICPMS","","","","","","","","","2555","ICPMS","","","85","ICPMS","","","149","ICPMS","","","16.2","64.3","ICPMS","65.41","SOSMS_ID","11.3","ICPMS","10.82","SOSMS_ID","3.34","9.42","1.13","5.44","0.801","2.09","0.297","1.588","0.211","1.09","2.93","","","6.88","","","21","3.17",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. SD-10","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.5","68.83","-70.5","68.83","35.49","2.4","7.94","0.09","","","","4.05","","6.62","12.89","16.98","0.18","","","","2.08","2.32","0.89","","","3.62","","","","","8.04","","","","","","","","","","","","","","27.8","","270","ICPMS","","","581","ICPMS","","","","","","","320","ICPMS","","","","","","","","85.7","ICPMS","","","1139","ICPMS","","","26.2","ICPMS","","","157","ICPMS","","","25.1","ICPMS","","","","","","","","","1373","ICPMS","","","85.1","ICPMS","","","144","ICPMS","","","15.7","61.6","ICPMS","","","11.4","ICPMS","","","3.33","9.08","1.12","5.49","0.779","2.14","0.306","1.578","0.223","2.38","2.59","","","7.23","","","18.3","2.66",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. N-22","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.5","68.85","-70.5","68.85","37.21","2.13","7.11","0.11","","","","3.97","","6.68","12.82","20.45","0.19","","","","1.49","2.31","0.68","","","1.92","","","","","4.97","","","","","","","","","","","","","","24.2","","228","ICPMS","","","718","ICPMS","","","","","","","547","ICPMS","","","","","","","","84.6","ICPMS","70.06","SOSMS_ID","1036","ICPMS","762","SOSMS_ID","22.5","ICPMS","","","115","ICPMS","","","27.5","ICPMS","","","","","","","","","1096","ICPMS","","","74.4","ICPMS","","","132","ICPMS","","","12.5","48.3","ICPMS","53.21","SOSMS_ID","8.75","ICPMS","9.11","SOSMS_ID","2.86","8.02","0.978","4.89","0.711","1.84","0.272","1.385","0.181","2.04","3.14","","","4.78","","","16.6","2.38",
"2001"," [4288] ANDRONIKOV A. V. (2001)","samp. KN-3","","ANTARCTICA / EAST ANTARCTIC RIFT SYSTEM (LAMBERT-AMERY RIFT) / NORTHERN PRINCE CHARLES MOUNTAINS","","","OUTCROP","","","SUBAERIAL","PLUTONIC ROCK","LAMPROPHYRE","HOLOCRYSTALLINE","","110000000","117000000","CRETACEOUS","","","","","","","WHOLE ROCK","","","","","","","","","","-70.53","68.85","-70.53","68.85","36.82","2.3","9.7","0.04","","","","4.95","","5.35","15","13.61","0.21","","","","2.1","2.62","0.98","","","1.57","","","","","7.66","","","","","","","","","","","","","","21.9","","227","ICPMS","","","211","ICPMS","","","","","","","207","ICPMS","","","","","","","","67.7","ICPMS","","","1674","ICPMS","","","28.5","ICPMS","","","185","ICPMS","","","30","ICPMS","","","","","","","","","1654","ICPMS","","","88.2","ICPMS","","","152","ICPMS","","","16.7","66.4","ICPMS","","","12.5","ICPMS","","","3.69","10.4","1.3","6.39","0.96","2.43","0.351","1.911","0.255","3.15","3.38","","","9.77","","","20.5","3.35",
